"fixture_id","elapsed","team_id","player","type","detail"
328022,33,134,"Geuvanio","subst","Nikao"
328022,34,134,"Wellington","Card","Yellow Card"
328022,59,134,"Vitinho","Card","Yellow Card"
328022,66,134,"Pedrinho","subst","Richard"
328022,68,121,"Willian","subst","L. Adriano"
328022,78,134,"V. Mingotti","subst","Carlos"
328022,79,134,"F. Canesin","subst","Cittadini Leo"
328022,82,121,"R. Veiga","subst","Roni"
328022,83,121,"Gustavo Scarpa","subst","Bruno Henrique"
328022,83,121,"Ramires","subst","Lima Lucas"
328022,87,134,"F. Canesin","Card","Yellow Card"
328022,90,121,"R. Veiga","Goal","Normal Goal"
328022,90,134,"T. Heleno","Card","Yellow Card"
328020,15,119,"M. Musto","Card","Yellow Card"
328020,22,144,"Eder","Card","Yellow Card"
328020,37,144,"Junior Brandao","subst","Hyuri"
328020,44,119,"Jussa","Card","Yellow Card"
328020,52,119,"M. Musto","Goal","Normal Goal"
328020,56,144,"E. Felipe","Card","Yellow Card"
328020,57,119,"W. Pottker","Card","Red Card"
328020,60,119,"Edenilson","subst","B. Praxedes"
328020,60,119,"T. Galhardo","subst","Peglow"
328020,65,144,"Chico","subst","Moacir"
328020,69,119,"T. Galhardo","Goal","Normal Goal"
328020,73,119,"Rodrigo","subst","M. Guilherme"
328020,74,144,"V. M. de","subst","Jorginho"
328020,76,144,"Vitor","subst","Matheuzinho"
328020,78,119,"Moises","subst","Patrick"
328020,79,119,"M. Lomba","Card","Yellow Card"
328020,89,144,"Jean","Card","Yellow Card"
328020,90,119,"T. Galhardo","Goal","Penalty"
328024,8,154,"W. Paulista","Goal","Normal Goal"
328024,19,154,"J. Quintero","Card","Yellow Card"
328024,29,151,"L. Gustavo","Card","Yellow Card"
328024,45,151,"R. Vaz","Card","Yellow Card"
328024,46,154,"Yuri","subst","David"
328024,46,154,"Paulao","subst","J. Quintero"
328024,46,151,"Zeca","subst","J. Pintado"
328024,50,151,"Zeca","Card","Yellow Card"
328024,53,151,"Sandro","Card","Yellow Card"
328024,60,154,"Bruno","Goal","Normal Goal"
328024,62,151,"J. F. Ferreira","subst","V. Andrade"
328024,62,151,"Breno","subst","Sandro"
328024,68,151,"Mike","subst","D. Villalva"
328024,69,154,"Yuri","Goal","Normal Goal"
328024,72,154,"Ronald","subst","Felipe"
328024,73,151,"Jefferson","subst","Heron"
328024,77,154,"G. Dias","subst","Romarinho"
328024,79,154,"Bruno","Card","Yellow Card"
328024,79,154,"F. Fragapane","subst","Osvaldo"
328024,80,151,"Jefferson","Goal","Normal Goal"
328016,27,120,"L. Morais","Goal","Normal Goal"
328016,46,120,"Caio Alexandre","subst","L. O. Alves Marcolino"
328016,46,120,"R. Forster","subst","R. Pedro"
328016,60,1062,"B. Silva","subst","Marrony"
328016,67,1062,"J. Savarino","subst","A. Franco"
328016,68,120,"B. Nazario","subst","L. H. Tomaz de Lima"
328016,75,120,"Rhuan","subst","L. Morais"
328016,77,120,"F. Barrandeguy","Card","Yellow Card"
328016,79,120,"Danilo","Card","Yellow Card"
328016,81,120,"F. Costanza","subst","F. Barrandeguy"
328016,85,1062,"Mailton","subst","Marquinhos"
328016,85,1062,"Jair","subst","Allan"
328016,85,1062,"Mariano","subst","Guga"
328016,88,120,"Caio Alexandre","Goal","Normal Goal"
328016,90,1062,"I. Rabello","Goal","Normal Goal"
328019,16,147,"Yan","Card","Red Card"
328019,17,131,"A. Araos","Card","Yellow Card"
328019,28,147,"Patrick","Card","Yellow Card"
328019,31,131,"Jo","Goal","Missed Penalty"
328019,38,131,"Leo Natel","Goal","Normal Goal"
328019,42,147,"Sassa","Goal","Normal Goal"
328019,46,131,"Mosquito","subst","Ramiro"
328019,46,131,"E. Lourenco","subst","Gabriel"
328019,49,131,"Jo","Goal","Normal Goal"
328019,53,147,"Wellissol","subst","Robson"
328019,64,147,"I. da Cruz","subst","Neilton"
328019,70,131,"L. Piton","subst","Sidcley"
328019,70,131,"O. Ruan","subst","Leo Natel"
328019,73,131,"L. Piton","Card","Yellow Card"
328019,76,131,"Camacho","subst","V. Cantillo"
328019,78,147,"Luizinho","subst","M. Bueno"
328019,78,147,"M. Sales","subst","M. Galdezani"
328019,87,131,"Mosquito","Goal","Normal Goal"
328021,23,123,"Adryelson","Card","Yellow Card"
328021,30,123,"Bruno","Card","Yellow Card"
328021,36,123,"I. Maidana","Card","Yellow Card"
328021,36,128,"Y. Soteldo","Card","Yellow Card"
328021,46,128,"P. G. Tailson","subst","C. Sanchez"
328021,55,123,"Ronaldo","subst","Bruno"
328021,55,123,"Betinho","subst","J. Gomez"
328021,63,128,"J. Mota","subst","Jobson"
328021,63,128,"L. Braga","subst","Kaio Jorge"
328021,72,123,"Sander","subst","Elton"
328021,72,123,"Philip","subst","L. Batista da Silva Junior"
328021,73,128,"L. Braga","Card","Yellow Card"
328021,76,128,"Marinho","Goal","Normal Goal"
328021,80,128,"M. Leonardo","subst","Y. Soteldo"
328021,80,123,"Hernane","subst","Ricardinho"
328021,86,128,"Alex","subst","Marinho"
328021,90,123,"W. Farias","Card","Yellow Card"
328017,19,118,"Gilberto","Goal","Missed Penalty"
328017,22,118,"Rossi","Goal","Normal Goal"
328017,30,126,"Vitor","Card","Yellow Card"
328017,46,126,"Luciano","subst","I. Gomes"
328017,60,126,"G. Rodrigas da Silva","subst","Liziero"
328017,61,118,"Gregore","Card","Yellow Card"
328017,64,118,"Danielzinho Simoes","subst","Rodriguinho"
